Gene name	Gene Synonym
AC024257.2	
INPP5B	
ZNF641	FLJ31295
COX15	CEMCOX2
DDX11L16	
AC016526.2	
AC016526.3	
AC016526.1	
ESRRB	DFNB35
ESRRB	ERR2
ESRRB	ERRb
ESRRB	ERRbeta
ESRRB	ESRL2
ESRRB	NR3B2
RN7SL689P	
PPIC	CYPC
AC090115.1	
ABCC2	CMOAT
ABCC2	cMRP
ABCC2	DJS
ABCC2	MRP2
OR5BK1P	
IQCH-AS1	
AC024257.4	
OR5BT1P	
OR5BJ1P	OST740
OR8S21P	
AC079061.1	
OR8T1P	
ANP32D	PP32R2
AC023245.2	
U2	
C12orf54	MGC35033
AC023245.1	
KCNV1	Kv8.1
PPIC-AS1	
RN7SL711P	
AC106786.1	
C15orf61	LOC145853
PRDM6	KMT8C
PRDM6	PRISM
AC027451.1	
RPSAP48	
AC073023.1	
AC090819.1	
AC025366.1	
AC016355.1	
AC008050.1	
AP005357.1	
NDUFB9P3	
CYCSP1	HC5
CYCSP1	HCP36
AL390778.1	
MAP2K5	HsT17454
MAP2K5	MAPKK5
MAP2K5	MEK5
MAP2K5	PRKMK5
RPSAP3	LAMR1P3
LINC01608	TCONS_00015136
AL390778.2	
AC007376.1	
AC007376.2	
C9orf62	MGC35463
AC089987.2	
VASH1	KIAA1036
RPS10P20	
AC089987.1	
AL353615.1	
OR8S1	
AC010493.1	
SOCS5P2	
CEP120	CCDC100
CEP120	FLJ36090
OR5BS1P	OR5BS1
PPP1R26-AS1	
LALBA	LYZL7
PPP1R26	KIAA0649
AL929472.2	
OR11M1P	
SNORA63	
RNU6-584P	
Metazoa_SRP	
AF111169.3	
SF3A3	PRP9
SF3A3	PRPF9
SF3A3	SAP61
SF3A3	SF3a60
KANSL2	C12orf41
KANSL2	FLJ20436
KANSL2	NSL2
AF111169.1	
VASH1-AS1	
MTCO1P47	
ANGEL1	Ccr4e
ANGEL1	KIAA0759
LINC01609	
C9orf116	MGC29761
C9orf116	PIERCE1
C9orf116	RbEST47
AC009930.1	
EEF1A1P37	
AC079915.1	
FAM187B	FLJ25660
FAM187B	TMEM162
OMG	OMGP
AC007336.2	
LINC02237	RP11-1101K5.1
MMP2-AS1	ENST00000569037
FAM187B2P	
AC007336.3	
LSR	ILDR3
LSR	LISCH7
MRPS2	CGI-91
LPCAT2	AGPAT11
LPCAT2	AYTL1
LPCAT2	FLJ20481
LPCAT2	LysoPAFAT
SERPINA15P	
H2AZP7	
EVI2B	CD361
EVI2B	D17S376
EVI2B	EVDB
AC022360.1	
RNU4-37P	
CSMD3	
NANOGP6	
DNMBP	ARHGEF36
DNMBP	KIAA1010
DNMBP	Tuba
AF111169.4	
LRRC74A	C14orf166B
LRRC74A	LRRC74
AC134669.1	
RNU6-510P	
FHL3	SLIM2
EVI2A	EVDA
EVI2A	EVI2
AC062037.1	
AL161452.1	
Y_RNA	
RN7SL113P	
AC062037.2	
AK4P1	AK3P1
AC097015.1	
LCN1	MGC71975
LCN1	PMFA
LCN1	TLC
LCN1	TP
LCN1	VEGP
RAB11FIP4	FLJ00131
RAB11FIP4	KIAA1821
RAB11FIP4	MGC11316
RAB11FIP4	RAB11-FIP4
SNORA2C	ACA34
SNORA2C	SNORA34
TKT	
MIR1291	hsa-mir-1291
MIR1291	MIRN1291
SNORA2A	ACA2A
CAPG	AFCP
CAPG	MCP
SNORA2B	ACA2b
CCNT1	CCNT
CCNT1	CYCT1
CCNT1	HIVE1
AC007336.1	
CAPNS2	MGC12536
CAPNS2	MGC14804
RPL22P2	
RN7SKP17	
AF111169.2	
SLC6A2	NAT1
SLC6A2	NET
SLC6A2	NET1
SLC6A2	SLC6A5
AC007686.4	
LINC01629	linc-KIAA1737-2
RN7SL356P	
AC007686.1	
IRF2BPL	C14orf4
IRF2BPL	EAP1
IRF2BPL	KIAA1865
AC007686.3	
UTP11	CGI-94
UTP11	UTP11L
LINC02288	
AC007686.2	
OBP2A	hOBPIIa
OBP2A	LCN13
OBP2A	OBP
LINC02289	
AC007686.5	
KRT8P33	
HMGB3P17	
AC026422.1	
CIPC	KIAA1737
POU3F1	OCT6
POU3F1	OTF6
POU3F1	SCIP
DNMBP-AS1	bA287G8.2
DNMBP-AS1	FLJ40792
DNMBP-AS1	NCRNA00093
CSNK1G3	
MIR1908	hsa-mir-1908
MIR1908	MIRN1908
MIR3659HG	
FADS3	CYB5RP
FADS3	LLCDL3
AL139158.1	
MIR3659	hsa-mir-3659
LINC02786	
TEX49	LINC00935
AL390839.1	
CPN1	
AL390839.2	
LINC01343	
AC117498.1	
ADCY6	AC6
AL513479.1	
RNU6-753P	
LINC01685	
AC097478.1	
PAEP	GD
PAEP	GdA
PAEP	GdF
PAEP	GdS
PAEP	MGC138509
PAEP	MGC142288
PAEP	PAEG
PAEP	PEP
PAEP	PP14
AC097478.3	
AC097478.2	
SNCA-AS1	
CYP2C23P	CYP2C62P
AC007375.2	
HSPA5P1	
MMRN1	ECM
MMRN1	EMILIN4
MMRN1	GPIa*
MMRN1	MMRN
TMEM63C	C14orf171
TMEM63C	CSC1
TMEM63C	DKFZp434P0111
TMEM63C	hsCSC1
AL354702.1	
TPM4P1	
SPCS2P2	
ERLIN1	C10orf69
ERLIN1	Erlin-1
ERLIN1	KE04
ERLIN1	SPFH1
ERLIN1	SPG62
RRAGC	FLJ13311
RRAGC	GTR2
MIR4701	hsa-mir-4701
ADCY6-DT	
AC117498.2	
Y_RNA	
RN7SL79P	
RN7SL45P	
AC003101.3	
MIR4724	hsa-mir-4724
MIR193A	hsa-mir-193
MIR193A	hsa-mir-193a
MIR193A	MIRN193
MIR193A	MIRN193A
AC003101.2	
CACNB3	CACNLB3
RNU6ATAC7P	
AC003101.1	
MIR4725	hsa-mir-4725
MIR365B	hsa-mir-365-2
MIR365B	MIR365-2
MIR365B	MIRN365-2
AC007923.3	
AC007923.2	
RNU6-1134P	
GPR160P2	
AC007923.1	
AC004253.2	
COPRS	C17orf79
COPRS	COPR5
COPRS	HSA272196
COPRS	TTP1
AL139260.2	
AC002128.2	
AL139260.1	
AC002128.1	
AC105445.1	
USF2	bHLHb12
USF2	FIP
MYCBP	AMY-1
CCSER1	FAM190A
CCSER1	KIAA1680
AL139260.3	
CHUK	IkBKA
CHUK	IKK-alpha
CHUK	IKK1
CHUK	IKKA
CHUK	NFKBIKA
CHUK	TCF16
UTP6	C17orf40
UTP6	HCA66
ZDHHC22	C14orf59
LINC01502	
GJA9	CX58
GJA9	CX59
GJA9	GJA10
PAEPP1	
AL354761.1	
RHBDL2	FLJ20435
AC007375.3	
GLT6D1	GLTDC1
FAM204DP	
AC007375.1	
NGB	
HNRNPA1P5	
DCP1A	HSA275986
DCP1A	SMAD4IP1
DCP1A	SMIF
SKOR1	CORL1
SKOR1	FUSSEL15
SKOR1	LBXCOR1
MIR1260A	hsa-mir-1260
MIR1260A	MIR1260
MIR1260A	MIRN1260
LCN9	
POMT2	LGMD2N
RNU6-605P	
RNU6-130P	
Y_RNA	
AL121977.1	
EIF1P2	
AL121977.2	
SOHLH1	bA100C15.3
SOHLH1	bHLHe80
SOHLH1	C9orf157
SOHLH1	NOHLH
SOHLH1	SPATA27
SOHLH1	TEB2
TPBG	5T4
TPBG	5T4-AG
AKIRIN1	C1orf108
AKIRIN1	FLJ12666
MIR6746	hsa-mir-6746
UBE3D	C6orf157
UBE3D	DKFZp434A1520
UBE3D	H10BH
UBE3D	UBE2CBP
UBE3D	YJR141W
RAB3IL1	GRAB
RN7SKP248	
AC093729.1	
TMSB4XP8	TMSL3
AC004054.1	
AC074124.1	
AC110774.1	
KRT19P6	
AC093810.1	
PMPCAP1	
AC097520.2	
AC097520.1	
NDUFS5	CI-15k
LNCPRESS2	
AC112695.1	
KRT18P16	
LINC01170	
GRID2	GluD2
GRID2	GluR-delta-2
AL138921.2	
AC009292.2	
AL138921.1	
KCNT1	KCa4.1
KCNT1	KIAA1422
KCNT1	SLACK
KCNT1	Slo2.2
HMGB1P29	
AC009292.1	
AC016556.1	
CWF19L1	FLJ10998
CWF19L1	hDrn1
AC025465.2	
RNU6-1	RNU6A
RNU6-1	U6
RNU6-1	U6-1
AC022254.1	
MIR3609	hsa-mir-3609
AC136621.1	
AC004893.2	
AC025465.4	
Y_RNA	
AC135628.1	
RNF14P3	
AC025465.3	
CES1P2	
AC025465.1	
SMURF1	KIAA1625
PIAS1	DDXBP1
PIAS1	GBP
PIAS1	GU/RH-II
PIAS1	ZMIZ3
ZNF608	DKFZp434M098
ZNF608	KIAA1281
ZNF608	NY-REN-36
CACNA1D	CACH3
CACNA1D	CACN4
CACNA1D	CACNL1A2
CACNA1D	Cav1.3
CACNA1D	CCHL1A2
CES1P1	CES1A3
CES1P1	CES4
CES1P1	CESR
CES1P1	PCE-3
AC004253.1	
SUZ12	CHET9
SUZ12	JJAZ1
SUZ12	KIAA0160
RNU6-1243P	
SNORA12	U108
PHBP9	
BEST1	BEST
BEST1	BMD
BEST1	RP50
BEST1	VMD2
RNU6-422P	
BLOC1S2	BLOS2
BLOC1S2	BORCS2
BLOC1S2	FLJ30135
BLOC1S2	MGC10120
LAP3P1	
AL355613.1	
DOP1A	dJ202D23.2
DOP1A	DOPEY1
DOP1A	KIAA1117
CES1	CEH
CES1	CES1A1
CES1	CES1A2
CES1	CES2
CES1	HMSE
CES1	HMSE1
CES1	SES1
MACF1	ABP620
MACF1	ACF7
MACF1	FLJ45612
MACF1	FLJ46776
MACF1	KIAA0465
MACF1	KIAA1251
MACF1	MACF
DDX23	prp28
DDX23	PRPF28
DDX23	SNRNP100
DDX23	U5-100K
HAMP	HEPC
HAMP	HFE2B
HAMP	LEAP-1
HAMP	LEAP1
AC024996.1	
RPL30P16	
MIR2053	hsa-mir-2053
AC107890.1	
MTND1P19	
AC095059.2	
AC055788.2	
AC095059.1	
AC055788.1	
AC020699.1	
AC103993.1	
AC110800.1	
PKD2L1	PCL
PKD2L1	PKD2L
PKD2L1	PKDL
PKD2L1	TRPP3
RNA5SP164	RN5S164
ATOH1	bHLHa14
ATOH1	HATH1
ATOH1	MATH-1
ATOH1	Math1
Y_RNA	
AC096746.1	
AC064802.1	
MAG	GMA
MAG	S-MAG
MAG	SIGLEC-4A
MAG	SIGLEC4A
HMGB3P15	
AC025881.1	
GSTZ1	GSTZ1-1
GSTZ1	MAAI
GSTZ1	MAI
CARS1P2	CARSP2
SMARCAD1	DKFZP762K2015
SMARCAD1	ETL1
SMARCAD1	KIAA1122
TRPS1	GC79
TRPS1	LGCR
AC062037.3	
RNA5SP437	RN5S437
AC090616.3	
AC112196.1	
AC113398.2	
AC113398.1	
LINC02240	
LRRC37B	
SH2D6	FLJ35993
FTH1	FHC
FTH1	FTH
FTH1	FTHL6
FTH1	PIG15
FTH1	PLIF
AC109464.1	
AC109464.2	
AC109458.2	
AC109458.1	
HMGB1P22	
AC116362.1	
AC004893.1	
KPNA7	IPOA8
RN7SKP117	
AC109471.1	
AC116362.2	
AC010587.2	
AC010587.1	
RPSAP37	
LINC02039	
GRAMD2B	FLJ21313
GRAMD2B	GRAMD3
GRAMD2B	NS3TP2
RND1	ARHS
RND1	Rho6
RND1	RHOS
MYH16	MHC20
MYH16	MYH16P
MYH16	MYH5
AL139819.1	
SCD	FADS5
SCD	SCDOS
AC107871.1	
RNU6-600P	
RPL32P27	
AC073610.1	
CALML4	MGC4809
CALML4	NY-BR-20
CCDC65	CFAP250
CCDC65	CILD27
CCDC65	DRC2
CCDC65	FAP250
CCDC65	FLJ35732
CCDC65	NYD-SP28
OLMALINC	bA34D15.5
OLMALINC	C10orf75
OLMALINC	FLJ12974
OLMALINC	HI-LNC80
OLMALINC	LINC00263
OLMALINC	NCRNA00263
AF178030.1	
CLN6	FLJ20561
CLN6	HsT18960
CLN6	nclf
LINC00536	
Y_RNA	
RN7SL251P	
Y_RNA	
RPSAP22	
RNA5SP276	RN5S276
AC090994.1	
PARTICL	PARTICLE
AP003733.3	
AC105177.1	
AP003733.1	
EIF3H	eIF3-gamma
EIF3H	eIF3-p40
EIF3H	EIF3S3
MAT2A	MATA2
MAT2A	MATII
MAT2A	SAMS2
LINC02733	
AC004834.1	
AP003733.2	
FKBP11	FKBP19
AP002793.1	
Y_RNA	
WNT8B	
AC004922.1	
INCENP	FLJ31633
ARPC1A	Arc40
ARPC1A	SOP2Hs
ARPC1A	SOP2L
SEC31B	DKFZP434M183
SEC31B	SEC31B-1
SEC31B	SEC31L2
CD22	SIGLEC-2
CD22	SIGLEC2
CES5A	CAUXIN
CES5A	CES4C1
CES5A	CES5
CES5A	CES7
CES5A	FLJ31547
PGM3	AGM1
PGM3	DKFZP434B187
PGM3	PAGM
GGCX	VKCFD1
ARF3	
UTP23	C8orf53
UTP23	MGC14595
ARPC1B	ARC41
ARPC1B	p40-ARC
ARPC1B	p41-ARC
AC090616.4	
TMED8	FAM15B
SH3GL1P1	CNSA-P1
SH3GL1P1	SH3GLP1
AC090616.6	
AC090616.2	
AC090616.5	
AC007954.1	
SAMD15	C14orf174
SAMD15	FAM15A
SAMD15	FLJ35963
AC090616.1	
RAD21	hHR21
RAD21	KIAA0078
RAD21	SCC1
HPGDS	GSTS
HPGDS	GSTS1
HPGDS	GSTS1-1
HPGDS	H-PGDS
HPGDS	PGD2
HPGDS	PGDS
WDR45BP1	WDR45LP1
NOXRED1	C14orf148
NOXRED1	FLJ32809
AC116407.2	
AC116407.1	
AC109925.1	
RPL35AP11	
WNT10B	SHFM6
WNT10B	WNT-12
EEF1DP8	
SCGB1D1	LIPA
SCGB1D1	LPHA
SCGB1D1	MGC71958
PDLIM5	Enh
PDLIM5	LIM
VIPAS39	C14orf133
VIPAS39	hSPE-39
VIPAS39	SPE-39
VIPAS39	SPE39
VIPAS39	VIPAR
VIPAS39	VPS16B
RHOT1	ARHT1
RHOT1	FLJ11040
RHOT1	MIRO-1
RHOT1	MIRO1
SCGB2A1	LPHC
SCGB2A1	MGB2
SCGB2A1	MGC71973
SCGB2A1	UGB3
HMGN2P40	
AP003306.1	
AC107871.2	
AC093535.1	
SCGB1D2	LIPB
SCGB1D2	LPHB
FEM1B	
AC093535.2	
RNU6-940P	
WNT1	INT1
ALDH7A1	ATQ1
ALDH7A1	EPD
ALDH7A1	PDE
SCGB2A2	MGB1
SCGB2A2	MGC71974
SCGB2A2	PSBP1
SCGB2A2	UGB2
ITGA11	HsT18964
DDN	KIAA0749
AC011603.3	
DDN-AS1	CAT1507
SCGB1D4	IIS
AL133352.1	
PRKAG1	
NPM1P35	
AP003306.2	
ASRGL1	ALP
ASRGL1	ALP1
ASRGL1	FLJ22316
NDUFB8	ASHI
NDUFB8	CI-ASHI
AC040168.1	
VAMP8	EDB
RCC2P6	
AC040168.2	
AP003064.1	
AC007495.1	
RN7SL126P	
SCGB1A1	CC10
SCGB1A1	CC16
SCGB1A1	CCSP
SCGB1A1	UGB
VAMP5	
GNAO1	G-ALPHA-o
AP003064.2	
RNF181	HSPC238
AHNAK	MGC5395
HIF1AN	DKFZp762F1811
HIF1AN	FIH1
HIF1AN	FLJ20615
HIF1AN	FLJ22027
AC100825.1	
CORO2B	ClipinC
CORO2B	KIAA0925
PDAP1	HASPP28
PDAP1	PAP
PDAP1	PAP1
RAD21-AS1	C8orf81
RAD21-AS1	NCRNA00255
MIR3610	hsa-mir-3610
AARD	C8orf85
AARD	LOC441376
Metazoa_SRP	
PAX2	
TMEM150A	FLJ90024
TMEM150A	TM6P1
TMEM150A	TMEM150
TMEM150A	TTN1
SLC30A8	ZnT-8
SLC30A8	ZNT8
BUD31	Cwc14
BUD31	EDG-2
BUD31	EDG2
BUD31	fSAP17
BUD31	G10
BUD31	YCR063W
AP001363.1	
AP001363.2	
EEF1G	EF1G
CARS1P1	CARSP1
ANP32A	C15orf1
ANP32A	I1PP2A
ANP32A	LANP
ANP32A	MAPM
ANP32A	mapmodulin
ANP32A	PHAPI
ANP32A	PP32
U62631.1	
MIR5196	hsa-mir-5196
FFAR1	FFA1R
FFAR1	GPR40
FFAR3	FFA3R
FFAR3	GPR41
AHSA1	Aha1
AHSA1	C14orf3
AHSA1	hAha1
AHSA1	p38
PTCD1	KIAA0632
GPR42	FFAR3L
GPR42	GPR41L
GPR42	GPR42P
EEF1A1P7	EEF1AL5
LINC01531	
AP002990.1	
RN7SL228P	
AC027419.1	
AC027419.2	
RN7SL826P	
AC084114.1	
AP002848.1	
MED30	THRAP6
MED30	TRAP25
KMT2D	ALR
KMT2D	CAGL114
KMT2D	MLL2
KMT2D	MLL4
KMT2D	TNRC21
MIR6747	hsa-mir-6747
TUT1	FLJ21850
TUT1	FLJ22267
TUT1	FLJ22347
TUT1	PAPD2
TUT1	RBM21
TUT1	TENT1
TUT1	TUTase
USP39	CGI-21
USP39	SAD1
USP39	SNRNP65
DKFZP434H168	
AC002511.3	
RN7SL491P	
ATP5MF-PTCD1	ATP5J2-PTCD1
AC002511.2	
MIR3935	hsa-mir-3935
AC009102.4	
AC009102.1	
AC002511.1	
AC009102.3	
FFAR2	FFA2R
FFAR2	GPR43
AC009102.2	
AMFR	gp78
AMFR	RNF45
KRTDAP	KDAP
KRTDAP	UNQ467
MIR4312	hsa-mir-4312
SPESP1	SP-ESP
RPS10P16	
EXT1	LGCR
EXT1	LGS
EXT1	ttv
AF111168.1	
ISM2	FLJ32147
ISM2	TAIL1
ISM2	THSD3
AC087639.1	
AC087639.2	
MTA2	MTA1-L1
MTA2	MTA1L1
AC027088.1	
Y_RNA	
AL138762.1	
CPSF4	CPSF30
CPSF4	NAR
SLF2	C10orf6
SLF2	FAM178A
SLF2	FLJ10512
SLF2	FLJ25012
NOX5	NOX5A
NOX5	NOX5B
RWDD2A	dJ747H23.2
RWDD2A	MGC13523
RWDD2A	RWDD2
ME1	
DMKN	ZD52F10
SPTLC2	hLCB2a
SPTLC2	KIAA0526
SPTLC2	LCB2
SPTLC2	LCB2A
SAMD12	FLJ39458
AL391416.1	
PRSS35	C6orf158
PRSS35	dJ223E3.1
PRSS35	MGC46520
AC092140.1	
NUDT21	CFIM25
NUDT21	CPSF5
SNAP91	AP180
SNAP91	CALM
SNAP91	KIAA0656
RHEBL1	FLJ25797
RHEBL1	MGC34869
RHEBL1	RHEB2
RN7SL587P	
COX6CP11	
AC023590.1	
ALKBH1	ABH
ALKBH1	alkB
ALKBH1	ALKBH
ALKBH1	hABH
SAMD12-AS1	C8orf26
SAMD12-AS1	NCRNA00252
RPS26P35	
AC011603.4	
TNFRSF11B	OCIF
TNFRSF11B	OPG
TNFRSF11B	TR1
DHH	HHG-3
DHH	MGC35145
RPL21P10	
ZMYND19P1	
AL133215.3	
AC011603.1	
OGFOD1	FLJ10826
OGFOD1	KIAA1612
OGFOD1	TPA1
SLIRP	C14orf156
SLIRP	DC50
MRPL43	bMRP36a
EML3	ELP95
EML3	FLJ35827
LMBR1L	FLJ10494
LMBR1L	KIAA1174
RNU6-12P	RNU6-12
AC107953.1	
RNU6-290P	
AC073063.1	
COLEC10	CL-L1
PHAX	FLJ13193
PHAX	RNUXA
ATP5MF	ATP5J2
ATP5MF	ATP5JL
AC107953.2	
MAL2	
SNW1	Bx42
SNW1	FUN20
SNW1	NCoA-62
SNW1	Prp45
SNW1	PRPF45
SNW1	SKIIP
SNW1	SKIP
SNW1	SKIP1
AC099513.1	
TEX43	C5orf48
TEX43	FLJ27505
TEX43	MGC163367
TEX43	MGC163369
TEX43	Tseg7
MAL2-AS1	
BOLA3P3	
HSPE1P10	
LMNB1-DT	
RNU6-752P	
MIR548AZ	hsa-mir-548az
LMNB1	
AC021733.4	
AC021733.1	
CCN3	IGFBP9
CCN3	NOV
AC027088.5	
AC021733.2	
ZNF789	
AC021733.3	
AC027088.4	
SEMA4G	FLJ20590
SEMA4G	KIAA1619
AC027088.3	
AC108067.1	
ENPP2	ATX
ENPP2	PD-IALPHA
ENPP2	PDNP2
AC027088.2	
BMPR1B-DT	BMPR1B-AS1
BMPR1B-DT	TCONS_00007797
C2orf68	
EWSAT1	FLJ33768
EWSAT1	LINC00277
EWSAT1	NCRNA00277
EWSAT1	TMEM84
BMPR1B	ALK6
BMPR1B	CDw293
AC092140.2	
BBS2	BBS
GLCE	HSEPI
GLCE	KIAA0836
SFTPB	SFTP3
SFTPB	SP-B
MARCHF3	MARCH-III
MARCHF3	MARCH3
MARCHF3	MGC48332
MARCHF3	RNF173
ZNF394	FLJ12298
ZNF394	ZKSCAN14
ZNF394	ZSCAN46
AC026992.2	
C5orf63	FLJ44606
C5orf63	YDR286C
AC026992.1	
PAQR5	FLJ20190
PAQR5	MPRG
ZKSCAN5	ZFP95
ZKSCAN5	ZNF914
ZKSCAN5	ZSCAN37
AC005915.1	
C14orf178	FLJ25976
MRPS5P3	
AC011416.1	
SELENOTP2	
AC011416.2	
AC011416.3	
ADCK1	FLJ39600
MEGF10	KIAA1780
MEGF10	SR-F3
AC027237.4	
AC027237.3	
ARGFXP2	
GNLY	D2S69E
GNLY	LAG-2
GNLY	LAG2
GNLY	NKG5
GNLY	TLA519
FAM200A	C7orf38
FAM200A	DKFZp727G131
FAM200A	FLJ36794
AC116407.4	
AC116407.3	
MT4	MTIV
UBL5P2	
AC026620.2	
Y_RNA	
ZNF655	VIK
ZNF655	VIK-1
MT3	GIF
RHBDL3	RHBDL4
RHBDL3	VRHO
KIF23	KNSL5
KIF23	MKLP-1
KIF23	MKLP1
Y_RNA	
FXNP1	FRDAP
NRXN3	C14orf60
NRXN3	KIAA0743
MT2A	MT2
MIR608	hsa-mir-608
MIR608	MIRN608
AL133215.1	
TWNK	C10orf2
TWNK	FLJ21832
TWNK	IOSCA
TWNK	PEO
TWNK	PEO1
TWNK	TWINKLE
TWNK	TWINL
TUBA1B	K-ALPHA-1
SNORD38C	
AC026461.3	
AC112218.1	
AC092035.1	
MT1L	MT1
MT1L	MT1R
MT1L	MTF
SNORD63	
AC012467.1	
CHDH	
MT1E	MT1
MT1E	MTD
CAMSAP1	DKFZp434F195
CAMSAP1	FLJ31228
UNC5C	
IL17RB	CRL4
IL17RB	EVI27
IL17RB	IL17BR
IL17RB	IL17RH1
MT1M	MT1
MT1M	MT1K
AC026620.1	
RNA5SP388	RN5S388
RPS26P48	
AC005899.4	
AF099810.1	
GPR160P1	
AC009396.2	
RNU1-38P	
ATOH8	bHLHa21
ATOH8	FLJ14708
ATOH8	HATH6
AC009396.3	
AC009396.1	
LZTS2	KIAA1813
LZTS2	LAPSER1
MT1JP	MT1
MT1JP	MT1J
MT1JP	MT1NP
MT1JP	MTB
AC026888.1	
C17orf75	NJMU-R1
C17orf75	SRI2
AC022469.1	
AC011603.2	
AC022469.2	
AC008056.2	
AP001458.1	
AC008056.3	
MT1A	MT1
MT1A	MT1S
AC008056.1	
ROM1	ROM
ROM1	TSPAN23
AF123462.1	
Y_RNA	
DIO2	SelY
DIO2	TXDI2
MT1DP	MTM
TUBA1A	B-ALPHA-1
TUBA1A	FLJ25113
TUBA1A	TUBA3
MIR6071	hsa-mir-6071
AC105053.1	
MT1CP	
RN7SKP83	
AC026461.2	
MT1B	MT1
MT1B	MT1Q
B3GAT3	GlcAT-I
AC012467.2	
ACTR8	ARP8
ACTR8	INO80N
CYCSP23	HCP23
PDZD7	bA108L7.8
PDZD7	DFNB57
PDZD7	FLJ23209
PDZD7	PDZK7
RN7SKP153	
TAF2	CIF150
TAF2	TAF2B
TAF2	TAFII150
DIO2-AS1	
MT1F	MT1
ST3GAL5	SIAT9
ST3GAL5	SIATGM3S
ST3GAL5	ST3GalV
CEP128	C14orf145
CEP128	C14orf61
TUBA1C	bcm948
TUBA1C	MGC10851
TUBA1C	MGC14580
TUBA1C	TUBA6
MT1G	MT1
MT1G	MT1K
AC011416.4	
AC106881.1	
RPL30P6	
AC010424.1	
PDHA2	PDHAL
AC010424.2	
HNRNPKP1	
RNU6-1059P	
PRRC1	FLJ32875
RNU6-34P	RNU6-34
AC096661.1	
LINC02267	
SELENOK	SELK
RN7SKP28	
AC096585.1	
COX7A2P2	COX7A3
COX7A2P2	COX7AL2
COX7A2P2	COX7AP2
AC108515.1	
MT1H	MT1
STPG2	C4orf37
STPG2	MGC46496
GANAB	G2AN
GANAB	GIIA
GANAB	GluII
GANAB	KIAA0088
Metazoa_SRP	
AC010173.1	
AL355574.1	
AC125611.3	
AC125611.4	
UBAC1	GBDR1
UBAC1	KPC2
UBAC1	UBADC1
SFXN3	SFX3
SFXN3	SLC56A3
MT1IP	MT1
MT1IP	MT1I
MT1IP	MTE
PRPH	NEF4
PRPH	PRPH1
MT1X	MT-1l
MT1X	MT1
AC115282.2	
CABYRP1	CABYRP
AC115282.1	
AC034154.1	
CACNA2D3	HSA272268
STPG2-AS1	
AC005899.3	
OOSP1P2	
MIR632	hsa-mir-632
MIR632	MIRN632
CRYZP2	
RPL5P12	
AC026461.1	
AC005020.2	
DUTP8	
DPPA2P4	
AC019077.1	
ZNF207	BuGZ
AC106779.1	
TMEM225B	
NACC2	BEND9
NACC2	BTBD14A
NACC2	BTBD31
NACC2	MGC23427
RAP1GDS1	SmgGDS
AL133215.2	
NUP93	KIAA0095
KAZALD1	FKSG28
KAZALD1	FKSG40
AP005717.2	
DSCC1	DCC1
DSCC1	hDCC1
DSCC1	MGC5528
ZSCAN25	FLJ32468
ZSCAN25	ZNF498
AC021945.1	
RN7SL396P	
AP005717.1	
LINC02846	
TLX1NB	APT-B7
TLX1NB	TD1
TLX1NB	TDI
DEPTOR	DEP.6
DEPTOR	DEPDC6
DEPTOR	FLJ12428
TMEM250	bA83N9.1
TMEM250	C9orf69
TROAP	TASTIN
TLX1	HOX11
TLX1	TCL3
AL138781.1	
LHX3	
HMGN2P2	HMGN2L2
LINC01514	
TSHR	LGR3
AC010424.3	
CTXN3	
SMARCE1P7	
LBX1	HPX6
LBX1	LBX1H
AC005020.1	
AC022118.1	
CCDC192	LINC01183
LBX1-AS1	FLJ41350
CYP3A5	CP35
CYP3A5	P450PCN3
CYP3A5	PCN3
CUL1P1	
AC068658.1	
RNA5SP277	RN5S277
LINC01184	FLJ33630
AC091563.1	
COL14A1	UND
LINC02681	
QSOX2	DKFZp762A2013
QSOX2	QSCN6L1
QSOX2	SOXN
RNU2-43P	
AL133387.1	
AL133387.2	
BTRC	beta-TrCP1
BTRC	betaTrCP
BTRC	bTrCP
BTRC	bTrCP1
BTRC	FBXW1A
BTRC	Fwd1
CCDC187	MGC50722
RNU6-608P	
RNA5SP44	RN5S44
AL442071.2	
AL442071.1	
HSPE1P8	
BMP8A	OP-2
OXCT2P1	OXCT2P
PPIEL	PPIEP1
SLC12A2	BSC
SLC12A2	BSC2
SLC12A2	NKCC1
SLC12A2	PPP1R141
CR392000.1	
CR392000.2	
DKFZP434A062	
PABPC4	APP-1
PABPC4	iPABP
GPSM1	AGS3
GPSM1	DKFZP727I051
CYP3A7-CYP3A51P	
RNU2-59P	
DPCD	DKFZP566F084
DPCD	RP11-529I10.4
BHLHB9P1	
RPL17P3	
AC007262.1	
AC007262.2	
NMNAT1P1	NMNATP
AL136040.2	
RPS15P5	
GTF2A1	TFIIA
ESRG	HESRG
CACNA2D3-AS1	
LRTM1	HT017
CYP3A51P	CYP3A5-de13c
CYP3A51P	CYP3A5-de1b2b
CYP3A51P	CYP3A5P1
CYP3A7	CP37
CYP3A7	P450-HFLA
PABPC4-AS1	
POLL	
AC092059.1	
LINC02017	
SNORA55	ACA55
MIR138-2	hsa-mir-138-2
MIR138-2	MIRN138-2
AC005899.6	
LINC02030	
HEYL	bHLHb33
HEYL	HESR3
HEYL	HEY3
SLC12A3	NCCT
AC005899.7	
DNLZ	bA413M3.2
DNLZ	C9orf151
DNLZ	HEP
DNLZ	RP11-413M3.2
DNLZ	TIMM15
DNLZ	ZIM17
C1QL4	C1QTNF11
